城市,日期,累积确诊人数,累积治愈人数,累积死亡人数
衢州,2020/1/22,1,0,0
衢州,2020/1/23,2,0,0
衢州,2020/1/24,2,0,0
衢州,2020/1/25,3,0,0
衢州,2020/1/26,5,0,0
衢州,2020/1/27,5,0,0
衢州,2020/1/28,8,0,0
衢州,2020/1/29,10,0,0
衢州,2020/1/30,12,0,0
衢州,2020/1/31,13,0,0
衢州,2020/2/1,13,0,0
衢州,2020/2/2,14,0,0
衢州,2020/2/3,14,0,0
衢州,2020/2/4,14,0,0
衢州,2020/2/5,14,2,0
衢州,2020/2/6,14,2,0
衢州,2020/2/7,14,3,0
衢州,2020/2/8,14,3,0
衢州,2020/2/9,14,3,0
衢州,2020/2/10,14,5,0
衢州,2020/2/11,14,5,0
衢州,2020/2/12,14,5,0
衢州,2020/2/13,14,8,0
衢州,2020/2/14,14,8,0
衢州,2020/2/15,14,9,0
衢州,2020/2/16,14,9,0
衢州,2020/2/17,14,10,0
衢州,2020/2/18,14,10,0
衢州,2020/2/19,14,10,0
衢州,2020/2/20,14,10,0
衢州,2020/2/21,14,10,0
衢州,2020/2/22,14,10,0
衢州,2020/2/23,14,10,0
衢州,2020/2/24,14,10,0
衢州,2020/2/25,14,11,0
衢州,2020/2/26,14,11,0
衢州,2020/2/27,14,11,0
衢州,2020/2/28,14,12,0
衢州,2020/2/29,14,12,0
衢州,2020/3/1,14,12,0
衢州,2020/3/2,14,12,0
衢州,2020/3/3,14,12,0
衢州,2020/3/4,14,12,0
衢州,2020/3/5,14,14,0
衢州,2020/3/6,14,14,0
衢州,2020/3/7,14,14,0
衢州,2020/3/8,14,14,0
衢州,2020/3/9,14,14,0
衢州,2020/3/10,14,14,0
衢州,2020/3/11,14,14,0
衢州,2020/3/12,14,14,0
衢州,2020/3/13,14,14,0
衢州,2020/3/14,14,14,0
衢州,2020/3/15,14,14,0
衢州,2020/3/16,14,14,0
衢州,2020/3/17,14,14,0
衢州,2020/3/18,14,14,0
衢州,2020/3/19,14,14,0
衢州,2020/3/20,14,14,0
衢州,2020/3/21,14,14,0
衢州,2020/3/22,14,14,0
衢州,2020/3/23,14,14,0
衢州,2020/3/24,14,14,0
衢州,2020/3/25,14,14,0
衢州,2020/3/26,14,14,0
衢州,2020/3/27,14,14,0
衢州,2020/3/28,14,14,0
衢州,2020/3/29,14,14,0
衢州,2020/3/30,14,14,0
衢州,2020/3/31,14,14,0
衢州,2020/4/1,14,14,0
衢州,2020/4/2,14,14,0
衢州,2020/4/3,14,14,0
衢州,2020/4/4,14,14,0
衢州,2020/4/5,14,14,0
衢州,2020/4/6,14,14,0
衢州,2020/4/7,14,14,0
衢州,2020/4/8,14,14,0
衢州,2020/4/9,14,14,0
衢州,2020/4/10,14,14,0
衢州,2020/4/11,14,14,0
衢州,2020/4/12,14,14,0
衢州,2020/4/13,14,14,0
衢州,2020/4/14,14,14,0
衢州,2020/4/15,14,14,0
衢州,2020/4/16,14,14,0
衢州,2020/4/17,14,14,0
衢州,2020/4/18,14,14,0
