省份,日期,新增确诊人数,新增治愈人数,新增死亡人数,累积确诊人数,累积治愈人数,累积死亡人数
上海,2020/1/20,1,0,0,1,0,0
上海,2020/1/21,0,0,0,1,0,0
上海,2020/1/22,0,0,0,1,0,0
上海,2020/1/23,0,0,0,1,0,0
上海,2020/1/24,0,1,0,1,1,0
上海,2020/1/25,1,0,0,2,1,0
上海,2020/1/26,0,0,1,2,1,1
上海,2020/1/27,64,2,0,66,3,1
上海,2020/1/28,14,1,0,80,4,1
上海,2020/1/29,20,1,0,100,5,1
上海,2020/1/30,27,0,0,127,5,1
上海,2020/1/31,25,0,0,152,5,1
上海,2020/2/1,24,0,0,176,5,1
上海,2020/2/10,7,4,0,301,48,1
上海,2020/2/11,6,5,0,307,53,1
上海,2020/2/12,7,4,0,314,57,1
上海,2020/2/13,5,5,0,319,62,1
上海,2020/2/14,8,28,0,327,90,1
上海,2020/2/15,2,34,0,329,124,1
上海,2020/2/16,3,16,0,332,140,1
上海,2020/2/17,2,21,0,334,161,1
上海,2020/2/18,0,16,0,334,177,1
上海,2020/2/19,0,9,0,334,186,1
上海,2020/2/2,16,0,0,192,5,1
上海,2020/2/20,1,13,0,335,199,1
上海,2020/2/21,0,12,0,335,211,1
上海,2020/2/22,1,16,0,336,227,1
上海,2020/2/23,0,22,0,336,249,1
上海,2020/2/24,0,12,0,336,261,1
上海,2020/2/25,1,7,0,337,268,1
上海,2020/2/26,1,4,0,338,272,1
上海,2020/2/27,0,4,0,338,276,1
上海,2020/2/28,0,3,0,338,279,1
上海,2020/2/29,0,8,0,338,287,1
上海,2020/2/3,15,0,0,207,5,1
上海,2020/2/4,25,0,0,232,5,1
上海,2020/2/5,21,10,0,253,15,1
上海,2020/2/6,15,10,0,268,25,1
上海,2020/2/7,12,5,0,280,30,1
上海,2020/2/8,11,11,0,291,41,1
上海,2020/2/9,3,3,0,294,44,1
上海,2020/3/1,0,3,0,338,290,1
上海,2020/3/10,2,4,0,345,319,1
上海,2020/3/11,0,1,0,345,320,1
上海,2020/3/12,2,1,0,347,321,1
上海,2020/3/13,4,3,0,351,324,1
上海,2020/3/14,3,0,0,354,324,1
上海,2020/3/15,2,0,0,356,324,1
上海,2020/3/16,3,0,0,359,324,1
上海,2020/3/17,3,0,0,362,324,1
上海,2020/3/18,2,1,0,364,325,1
上海,2020/3/19,8,0,0,372,325,1
上海,2020/3/2,1,2,0,339,292,1
上海,2020/3/20,9,0,0,381,325,1
上海,2020/3/21,14,0,0,395,325,1
上海,2020/3/22,10,0,0,405,325,1
上海,2020/3/23,10,1,0,415,326,1
上海,2020/3/24,19,1,0,434,327,1
上海,2020/3/25,18,0,0,452,327,1
上海,2020/3/26,17,1,0,469,328,1
上海,2020/3/27,17,3,0,486,331,1
上海,2020/3/28,7,0,0,493,331,1
上海,2020/3/29,6,0,0,499,331,1
上海,2020/3/3,0,2,0,339,294,1
上海,2020/3/30,11,4,0,510,335,1
上海,2020/3/31,7,3,0,517,338,1
上海,2020/3/4,0,4,0,339,298,1
上海,2020/3/5,1,5,0,340,303,1
上海,2020/3/6,3,3,0,343,306,1
上海,2020/3/7,0,7,0,343,313,1
上海,2020/3/8,0,1,0,343,314,1
上海,2020/3/9,0,1,0,343,315,1
上海,2020/4/1,6,2,0,523,340,1
上海,2020/4/10,0,13,0,556,431,1
上海,2020/4/11,52,3,0,608,434,1
上海,2020/4/12,11,8,0,619,442,1
上海,2020/4/13,0,12,0,619,454,1
上海,2020/4/14,4,10,0,623,464,1
上海,2020/4/15,6,15,0,629,479,1
上海,2020/4/16,0,4,0,629,483,1
上海,2020/4/17,0,22,0,629,505,1
上海,2020/4/18,7,4,0,636,509,1
上海,2020/4/19,3,5,0,639,514,1
上海,2020/4/2,4,0,0,527,340,1
上海,2020/4/20,0,9,0,639,523,1
上海,2020/4/21,1,0,0,640,523,1
上海,2020/4/22,1,2,0,641,525,1
上海,2020/4/23,1,1,0,642,526,1
上海,2020/4/24,0,14,0,642,540,1
上海,2020/4/25,1,11,0,643,551,1
上海,2020/4/26,0,10,0,643,561,1
上海,2020/4/27,2,13,0,645,574,1
上海,2020/4/28,1,3,0,646,577,1
上海,2020/4/29,2,13,0,648,590,1
上海,2020/4/3,3,5,0,530,345,1
上海,2020/4/30,5,2,0,653,592,1
上海,2020/4/4,2,8,0,532,353,1
上海,2020/4/5,5,26,0,537,379,1
上海,2020/4/6,2,6,0,539,385,1
上海,2020/4/7,5,17,0,544,402,1
上海,2020/4/8,9,11,0,553,413,1
上海,2020/4/9,3,5,0,556,418,1
上海,2020/5/1,0,13,0,653,605,1
上海,2020/5/10,0,1,0,660,619,1
上海,2020/5/11,0,0,0,660,619,1
上海,2020/5/12,1,4,0,661,623,1
上海,2020/5/13,0,2,0,661,625,1
上海,2020/5/14,0,5,0,661,630,1
上海,2020/5/15,5,2,0,666,632,1
上海,2020/5/16,0,1,0,666,633,1
